ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,anomaly,anomaly_score
302.160194,6,103,43,53,2,0.682109,34,136,4,1,82,1,184,0,-0.3076623081658642
302.241434,6,244,43,53,2,0.056424,32,162,4,1,80,1,210,0,-0.3245552269525537
302.298807,6,512,43,53,2,0.015006,32,132,4,1,80,1,180,0,-0.29855830670225714
302.303027,6,172,43,53,2,0.058555,36,73,4,1,84,1,121,0,-0.32718706684525706
302.334035,6,504,43,53,2,0.026398,32,162,4,1,80,1,210,0,-0.2954328849680702
302.334683,6,182,43,53,2,0.094786,45,148,4,1,93,1,196,0,-0.3028193106578749
302.347941,6,57,43,53,2,0.323567,33,208,4,1,81,1,256,0,-0.30152076804498606
302.356723,6,132,43,53,2,0.358322,34,135,4,1,82,1,183,0,-0.3211444787788085
302.360926,6,169,43,53,2,0.000925,32,132,4,1,80,1,180,0,-0.3273527821810452
302.362054,6,461,43,53,2,0.01973,36,117,4,1,84,1,165,0,-0.30144180924532615
302.429973,6,59,43,53,2,0.008207,45,190,4,1,93,1,238,0,-0.2833495183015644
302.672063,3,291,34,80,1,4.791372,435,588,4,6,699,6,1428,0,-0.13577553503852435
302.586628,6,89,43,53,2,0.054734,31,232,4,1,79,1,280,0,-0.30247227095194873
302.601255,6,192,43,53,2,0.337313,34,375,4,1,82,1,423,0,-0.2753858095597631
302.641946,6,125,43,53,2,0.073053,31,108,4,1,79,1,156,0,-0.3190707677206736
302.717612,6,455,43,53,2,0.076732,29,83,4,1,77,1,131,0,-0.28903976946795873
302.79466,3,308,37,53,2,0.001346,38,233,4,1,66,1,261,0,-0.23759465528161816
302.795065,6,209,43,53,2,0.019387,29,95,4,1,77,1,143,0,-0.31993419010750634
302.796558,3,118,37,53,2,0.027163,38,219,4,1,66,1,247,0,-0.24580971488472703
302.939607,6,204,43,53,2,0.30578,34,192,4,1,82,1,240,0,-0.316236037159356
303.462269,6,60,43,53,2,0.655007,29,383,4,1,77,1,431,0,-0.24148442155572603
303.605189,3,203,37,53,2,0.026198,33,217,4,1,61,1,245,0,-0.24415120753614522
303.631909,3,248,37,53,2,0.026091,33,173,4,1,61,1,201,0,-0.24971982952751687
303.71597,6,499,43,53,2,0.30285,34,252,4,1,82,1,300,0,-0.2666828055810382
303.716309,6,238,43,53,2,0.169126,35,162,4,1,83,1,210,0,-0.32317419542574205
303.885786,6,253,43,53,2,0.021358,35,131,4,1,83,1,179,0,-0.3291697627260798
304.019428,6,207,43,53,2,0.026632,34,148,4,1,82,1,196,0,-0.3319811921134307
304.117903,6,539,43,53,2,0.034124,29,196,4,1,77,1,244,0,-0.2676172763326211
304.366692,3,117,37,53,2,0.017194,48,208,4,1,76,1,236,0,-0.238518103352307
304.384425,3,425,37,53,2,0.054337,144,724,4,3,228,3,808,0,-0.11823872606492025
304.438296,6,62,43,53,2,0.936854,48,208,4,1,96,1,256,0,-0.2629036233286706
302.824141,3,295,27,80,1,6.917078,376,373,1,6,628,4,545,0,-0.18824211290898663
305.375932,6,141,43,53,2,0.001784,48,232,4,1,96,1,280,0,-0.28098696608470913
306.433001,6,474,43,53,2,0.128824,40,136,4,1,88,1,184,0,-0.2842844512489618
306.563532,6,121,43,53,2,0.030026,40,148,4,1,88,1,196,0,-0.3187739858672487
309.621034,6,270,43,53,2,0.072526,39,80,4,1,87,1,128,0,-0.31341170145732833
309.694155,6,254,43,53,2,0.01234,39,118,4,1,87,1,166,0,-0.31814182558106535
309.781303,6,146,43,53,2,0.01235,39,80,4,1,87,1,128,0,-0.31701852406489645
309.794141,6,249,43,53,2,0.000577,39,118,4,1,87,1,166,0,-0.3190061297926402
304.047398,3,313,12,80,1,11.425272,646,1073,1,7,950,5,2358,0,-0.14093517117676235
302.056773,3,283,24,80,1,13.416278,5894,6786,1,14,6466,13,8155,1,0.012262544873137493
302.716484,3,293,6,80,1,12.756832,1185,1318,1,7,1477,6,1562,0,-0.1099787412595733
309.624843,3,319,34,443,1,5.848893,808,1006,1,8,1140,7,1298,0,-0.11742437297060493
310.39142,3,322,34,80,1,5.082519,2302,604,1,7,2594,5,816,0,-0.10195869399637059
301.785917,3,30,23,80,1,13.688238,1864,3640,1,9,2248,8,5032,0,-0.0729455086437023
301.662602,3,28,23,80,1,13.811802,3303,9904,1,13,3835,12,10388,1,0.0052794308393736555
302.60088,6,542,43,53,2,1.167292,33,354,4,1,81,1,402,0,-0.22386896649386462
303.366186,6,184,43,53,2,2.009003,48,208,4,1,96,1,256,0,-0.24580056368143832
319.775942,3,323,25,1177,1,2.997187,0,0,3,2,104,0,0,0,-0.2825116453704556
300.995562,3,25,3,80,1,19.484005,392,725,1,6,644,3,849,0,-0.13387107159707046
268.408794,11,1,46,131,0,0,0,0,0,1,72,0,0,0,-0.30091142457953507
268.563026,10,2,54,130,0,0,0,0,0,1,72,0,0,0,-0.31810160456265757
319.44412,6,353,43,53,2,0.269634,34,50,4,1,82,1,98,0,-0.30601427809483245
319.714376,6,99,43,53,2,0.014977,34,94,4,1,82,1,142,0,-0.3266554058539173
309.795236,3,321,39,80,1,15.691845,464,406,1,6,716,3,538,0,-0.17198909107941707
309.715826,3,320,39,80,1,15.771574,874,723,1,7,1166,4,887,0,-0.14401959216459792
270.574345,9,2,60,130,0,0,0,0,0,1,72,0,0,0,-0.2911772763375508
271.059361,10,2,51,130,0,0,0,0,0,1,72,0,0,0,-0.31735748186654406
273.053297,6,6,49,136,0,0,0,0,0,1,72,0,0,0,-0.2770487853570536
273.05357,8,7,42,135,0,0,0,0,0,1,72,0,0,0,-0.2742271286519519
273.25127,12,2,55,130,0,0,0,0,0,1,72,0,0,0,-0.31398642215090566
273.251401,12,2,50,130,0,0,0,0,0,1,72,0,0,0,-0.3114615178071951
328.771204,3,323,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2817568407020731
274.058831,10,2,53,130,0,0,0,0,0,1,72,0,0,0,-0.31920580059613707
276.654415,9,2,57,130,0,0,0,0,0,1,72,0,0,0,-0.3095801082617503
277.757653,12,2,56,130,0,0,0,0,0,1,72,0,0,0,-0.31346806477516953
278.056779,11,6,42,136,0,0.000503,24,24,0,1,72,1,72,0,-0.24698305698519235
278.056962,12,6,52,136,0,0,0,0,0,1,72,0,0,0,-0.28447191907847075
278.057173,11,7,45,135,0,0,0,0,0,1,72,0,0,0,-0.2883876990147562
302.716098,3,292,33,80,1,32.785234,400,509,1,6,652,4,673,0,-0.1783790085551089
301.934344,3,279,15,80,1,33.567332,440,939,1,7,744,5,2090,0,-0.14532241009204705
283.064783,11,6,45,136,0,0.000099,24,24,0,1,72,1,72,0,-0.2522328122781364
342.788472,3,324,25,1177,1,2.997504,0,0,3,2,104,0,0,0,-0.281585431379691
298.799068,3,20,0,80,1,46.717,429,9311,1,6,681,11,9763,0,-0.0539200188171256
342.786653,6,195,43,53,2,0.00038,34,50,4,1,82,1,98,0,-0.3266358836331808
342.787538,6,44,43,53,2,0.000455,34,94,4,1,82,1,142,0,-0.3151113573926616
351.78483,3,324,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2832411166817881
304.434167,3,9,37,3,0,0,0,0,0,1,316,0,0,0,-0.21854060951162507
273.615956,4,56,13,1,0,31.052146,1086,0,0,5,1226,0,0,0,-0.09722492245630643
302.960395,6,0,43,4,0,2.415017,923,0,0,3,1067,0,0,0,-0.14281033428727608
298.633745,3,19,18,80,1,61.903211,1208,12763,1,9,1580,12,13255,0,-0.03397930085490275
297.689961,3,17,8,80,1,62.847298,419,20303,1,9,791,17,20995,0,-0.01271468670947895
305.378462,3,315,40,80,1,60.135913,301,51277,1,11,753,38,52809,0,-6.52549709213579e-05
304.152714,3,314,32,80,1,61.391731,938,1178,1,7,1230,5,1390,0,-0.15328120171984716
302.815129,3,294,17,443,1,62.729736,735,4949,1,8,1067,7,5241,0,-0.08750069735172539
303.24619,3,306,26,80,1,62.298916,921,1740,1,7,1225,6,2924,0,-0.14802073674401062
303.659716,3,310,30,80,1,61.885633,572,645,1,7,876,5,1502,0,-0.17135359809700634
303.65941,3,309,30,80,1,61.886136,605,661,1,7,909,5,1534,0,-0.17146842386255423
303.659114,3,308,30,80,1,61.886628,520,852,1,7,824,5,1916,0,-0.15768425136514708
303.658764,3,307,30,443,1,61.887255,1544,6361,1,14,2152,13,8380,0,-0.03183673739062853
302.438864,3,288,21,80,1,63.107433,641,1795,1,5,853,4,1967,0,-0.15105689280485057
302.439834,3,290,21,80,1,63.106676,640,1795,1,5,852,4,1967,0,-0.15179475844700452
302.36245,3,286,5,80,1,63.184304,718,1171,1,6,982,4,2514,0,-0.1306839636105528
302.382496,3,287,17,443,1,63.164587,1014,4469,1,8,1346,7,4761,0,-0.08454691371983236
302.314293,3,285,5,80,1,63.233029,604,65236,1,23,1536,47,67128,1,0.025110276098073037
302.844635,3,298,28,80,1,62.702924,767,767,1,6,1019,4,939,0,-0.16845107322345165
302.844132,3,296,28,80,1,62.703624,750,767,1,6,1002,4,939,0,-0.17010052271652198
302.844344,3,297,28,80,1,62.703606,772,432,1,6,1024,4,604,0,-0.1708736178861927
302.845333,3,302,28,80,1,62.702822,748,767,1,6,1000,4,939,0,-0.16972305089466155
303.031198,3,304,28,80,1,62.517151,748,767,1,6,1000,4,939,0,-0.16842207374896734
302.845136,3,301,28,80,1,62.703408,1522,1534,1,7,1814,5,1746,0,-0.12256018351102005
302.844976,3,300,28,80,1,62.70376,1645,1534,1,7,1937,5,1746,0,-0.12067239812670572
302.844778,3,299,28,80,1,62.704151,768,994,1,6,1020,4,1166,0,-0.16673534876900242
301.960436,3,282,9,80,1,63.588725,823,906,1,7,1115,5,1110,0,-0.131970070236043
301.94449,3,280,7,80,1,63.604915,834,2178,1,6,1098,5,3638,0,-0.11870673854710534
301.888694,3,37,11,80,1,63.660958,971,1268,1,6,1235,5,2121,0,-0.11636820116589774
302.959568,3,303,35,80,1,62.590319,1143,1419,1,7,1447,6,2372,0,-0.12909526687375927
301.296342,3,27,29,80,1,64.253781,1090,1802,1,7,1382,5,2014,0,-0.1246303859172384
300.953003,3,24,5,80,1,64.597425,950,31311,1,15,1562,25,32323,1,0.017766487447835932
301.684323,3,29,31,80,1,63.86637,508,229,1,5,720,3,357,0,-0.15354907485519143
300.779849,3,21,2,80,1,64.771089,403,4465,1,5,615,6,4717,0,-0.08299977003290904
366.060276,3,325,25,1177,1,3.009277,0,0,3,2,104,0,0,0,-0.2773307660568899
306.594332,3,317,38,80,1,60.161551,357,609,1,5,569,2,701,0,-0.16140439081914237
301.033974,3,26,4,80,1,69.517387,2358,422705,1,117,7062,298,435446,1,0.09668469366969945
306.406363,3,316,38,80,1,64.145293,342,3475,1,5,554,4,3647,0,-0.1103153329246126
365.789354,6,456,43,53,2,0.154194,34,50,4,1,82,1,98,0,-0.2899898521604807
365.944102,6,264,43,53,2,0.115565,34,94,4,1,82,1,142,0,-0.32662373185615295
375.077875,3,325,25,1177,1,0,0,0,3,1,48,0,0,0,-0.28408611753675783
389.083877,3,326,25,1177,1,2.998915,0,0,3,2,104,0,0,0,-0.28253390120214866
389.082055,6,538,43,53,2,0.000403,34,50,4,1,82,1,98,0,-0.2848635884808374
389.082944,6,42,43,53,2,0.00044,34,94,4,1,82,1,142,0,-0.313526221993694
398.080787,3,326,25,1177,1,0,0,0,3,1,48,0,0,0,-0.28602775985972206
347.801019,12,6,52,136,0,0,0,0,0,1,72,0,0,0,-0.28475074045573895
287.853699,3,13,38,443,1,123.797298,35441,5601,2,38,36975,26,6677,1,0.06463676352875569
412.114528,3,327,25,1177,1,3.001081,0,0,3,2,104,0,0,0,-0.2834166448096937
412.112622,6,164,43,53,2,0.00038,34,50,4,1,82,1,98,0,-0.32531193564931016
412.113497,6,495,43,53,2,0.000475,34,94,4,1,82,1,142,0,-0.31030305334626235
363.73555,11,5,46,133,0,0,0,0,0,1,184,0,0,0,-0.2780484172111137
421.113985,3,327,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2876054846309202
435.151027,3,328,25,1177,1,3.007554,0,0,3,2,104,0,0,0,-0.27965129794833704
435.118972,6,127,43,53,2,0.030428,34,149,4,1,82,1,197,0,-0.3306108359498769
435.149961,6,534,43,53,2,0.000527,34,94,4,1,82,1,142,0,-0.3041675689206892
444.157699,3,328,25,1177,1,0,0,0,3,1,48,0,0,0,-0.28788218659768117
393.848774,11,1,46,131,0,0,0,0,0,1,72,0,0,0,-0.3033169907469477
394.120483,10,2,54,130,0,0,0,0,0,1,72,0,0,0,-0.32157909981242583
394.265498,12,2,55,130,0,0,0,0,0,1,72,0,0,0,-0.31661624794796467
395.834403,9,2,57,130,0,0,0,0,0,1,72,0,0,0,-0.3111450647712475
396.158344,9,2,60,130,0,0,0,0,0,1,72,0,0,0,-0.2951738357534045
396.268734,12,2,56,130,0,0,0,0,0,1,72,0,0,0,-0.3157292645760874
396.604213,10,2,53,130,0,0,0,0,0,1,72,0,0,0,-0.32047737698625856
399.117685,10,2,51,130,0,0,0,0,0,1,72,0,0,0,-0.31919951633725263
400.263958,12,2,50,130,0,0,0,0,0,1,72,0,0,0,-0.31410869302194766
458.163703,3,329,25,1177,1,2.997928,0,0,3,2,104,0,0,0,-0.2854755500852522
458.161742,6,509,43,53,2,0.000594,34,149,4,1,82,1,197,0,-0.3043841185605007
458.162822,6,481,43,53,2,0.000427,34,94,4,1,82,1,142,0,-0.31124327296752596
411.031401,7,6,49,136,0,0,0,0,0,1,72,0,0,0,-0.2818448011343344
467.160056,3,329,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2897636309118587
416.041065,10,6,52,136,0,0,0,0,0,1,72,0,0,0,-0.2965349358707509
417.574136,10,2,59,130,0,0.055857,32,0,0,2,144,0,0,0,-0.26250654468746026
417.851552,2,251,22,1900,2,6.485126,798,0,3,6,966,0,0,0,-0.0852672125093582
481.177181,3,330,25,1177,1,2.997949,0,0,3,2,104,0,0,0,-0.28910992191227547
481.174993,6,272,43,53,2,0.000634,34,149,4,1,82,1,197,0,-0.33058331913409367
481.176211,6,153,43,53,2,0.000446,34,94,4,1,82,1,142,0,-0.3288863323371014
490.173647,3,330,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2935041238836156
347.800745,11,6,42,136,0,97.472259,72,72,0,3,216,3,216,0,-0.13738491288332488
504.210179,3,331,25,1177,1,3.007487,0,0,3,2,104,0,0,0,-0.2850517589459045
347.801252,11,7,45,135,0,102.465041,56,48,0,3,200,2,144,0,-0.1527000139928737
504.178126,6,176,43,53,2,0.03041,34,149,4,1,82,1,197,0,-0.33026514885720165
504.209102,6,485,43,53,2,0.000552,34,94,4,1,82,1,142,0,-0.30837540207734043
352.808826,11,6,45,136,0,102.464025,72,72,0,3,216,3,216,0,-0.13814126656293435
513.216322,3,331,25,1177,1,0,0,0,3,1,48,0,0,0,-0.2935606975128592
527.2232,3,332,25,1177,1,2.99784,0,0,3,2,104,0,0,0,-0.2920714123551138
